track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
4866757,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685
1956320,Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623
3608552,Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353
1443757,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192
1452364,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772
3512881,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314
8171349,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613
1054764,CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710
6794169,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651
1166211,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538
7137376,Players,Coi Leray,1,2022,11,30,4096,6,335074782
6620188,Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396
4053069,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667
6286315,Normal,Feid,1,2022,7,8,2461,36,459276435
8346639,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245
2098417,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666
4334346,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917
1936158,CUFF IT,Beyonc�,1,2022,7,29,7842,10,595900742
1193878,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779
5495832,69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987
1183111,Ni��a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040
2754241,Search & Rescue,Drake,1,2023,4,7,2066,6,175097833
5158640,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc�",2,2023,5,19,896,0,57089066
2987008,Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797
6436155,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689
1621586,Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053
6845168,Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328
1743307,Cupido,Tini,1,2023,2,14,1240,24,217672943
3910891,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829
8213022,Unstoppable,Sia,1,2016,1,21,7681,13,939844851
8641758,Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358
4604858,Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020
7732446,Easy On Me,Adele,1,2021,10,14,10195,20,1406111294
4165407,Cart��o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339
5554493,Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653
1488746,Oi Balde - Ao Vivo,Z�� Neto & Crist,1,2023,2,14,845,2,145458418
2670198,The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568
5478299,MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117
8465611,The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686
2434062,Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741
6675451,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624
6895326,Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489
2012053,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115
1442233,Haegeum,Agust D,1,2023,4,21,244,12,118810253
